userId,eventId,rating,timestamp
1,476,2.5,1260759144
1,1707,3,1260759179
1,1912,3,1260759182
1,873,2,1260759185
1,1538,4,1260759205
1,837,2,1260759151
1,1460,2,1260759187
1,581,2,1260759148
1,1674,3.5,1260759125
1,186,2,1260759131
1,1083,2.5,1260759135
1,672,1,1260759203
1,1446,4,1260759191
1,80,4,1260759139
1,1618,3,1260759194
1,1264,2,1260759198
1,1939,2,1260759108
1,480,2.5,1260759113
1,694,1,1260759200
1,57,3,1260759117
2,1213,4,835355493
2,771,5,835355681
2,453,5,835355604
2,842,4,835355552
2,1478,4,835355586
2,1179,3,835356031
2,1439,3,835355749
2,483,4,835355532
2,722,3,835356016
2,1751,5,835355395
2,1405,4,835355441
2,1961,3,835355493
2,1698,3,835355441
2,1713,3,835355710
2,424,3,835355511
2,376,3,835355664
2,502,3,835355511
2,1710,5,835355840
2,1997,1,835355749
2,1536,3,835355552
2,1636,3,835355664
2,1743,3,835355896
2,377,4,835355511
2,1924,4,835355681
2,680,5,835355697
2,1729,5,835355586
2,1250,3,835355767
2,195,4,835355779
2,1640,3,835355492
2,1073,4,835355395
2,129,3,835355532
2,17,4,835356044
2,951,2,835355551
2,118,1,835355918
2,829,3,835355492
2,770,4,835355441
2,1131,4,835355697
2,1337,3,835355628
2,249,3,835355749
2,1821,3,835355604
2,716,3,835355619
2,1779,2,835355932
2,285,3,835355968
2,689,3,835356094
2,1087,3,835355710
2,322,3,835356165
2,739,2,835356246
2,1714,3,835355532
2,466,4,835355604
2,705,3,835355511
2,1356,4,835355790
2,1659,2,835355828
2,805,4,835355643
2,1607,3,835355918
2,801,3,835355880
2,200,4,835355731
2,786,4,835355860
2,1329,4,835355719
2,669,4,835355817
2,146,4,835355731
2,449,4,835356199
2,582,3,835355767
2,891,3,835356109
2,512,5,835355767
2,835,3,835355860
2,1118,5,835355817
2,1745,3,835355790
2,1754,3,835355779
2,1165,3,835355441
2,103,5,835355697
2,764,5,835355395
2,1870,5,835355395
2,385,3,835355511
2,522,3,835355932
2,310,4,835356141
2,1882,4,835355978
3,242,3,1298861675
3,355,4,1298922049
3,556,3.5,1298861637
3,1277,3,1298861761
3,1960,4.5,1298862418
3,988,5,1298862121
3,986,2.5,1298861589
3,684,5,1298862167
3,140,2.5,1298923242
3,162,3,1298862528
3,1017,3,1298922100
3,362,3,1298923247
3,1766,3,1298921840
3,1837,2,1298923260
3,866,3.5,1298932787
3,1661,4,1298863157
3,1963,3,1298861687
3,1317,5,1298932770
3,1903,3,1298921795
3,1824,4,1298861628
3,1920,3,1298861605
3,263,4,1298861658
3,967,3.5,1298922089
3,1418,4.5,1298923236
3,1934,4,1298863143
3,1459,4,1298921862
3,1887,4,1298861753
3,1878,3,1298861789
3,1728,3,1298862710
3,1696,3.5,1298861796
3,1861,3,1298924017
3,606,3.5,1298922057
3,182,4,1298861733
3,1441,4,1298921825
3,79,5,1298862874
3,31,3,1298861968
3,907,4,1298861633
3,446,5,1298863174
3,1864,3,1298923266
3,400,3.5,1298862672
3,408,3,1298922080
3,1633,2.5,1298921787
3,1866,3,1298922065
3,818,3.5,1298861650
3,1785,3,1298932766
3,1409,3.5,1298862555
3,218,3.5,1298932740
3,999,4.5,1298862361
3,1254,4.5,1298862467
3,1584,3,1298922071
3,1639,4,1298922130
4,945,4,949810645
4,283,5,949919556
4,607,5,949810582
4,1540,5,949919681
4,1350,4,949811346
4,1133,3,949811346
4,1628,3,949920047
4,1567,5,949779042
4,1286,4,949778802
4,1426,5,949895708
4,1627,3,949810618
4,1505,5,949810582
4,814,5,949919763
4,286,5,949919681
4,929,5,949949538
4,1556,4,949895887
4,1522,3,949810534
4,1472,3,949919883
4,855,3,949895772
4,312,4,949810688
4,847,1,949920135
4,342,4,949919802
4,305,4,949920028
4,206,4,949811315
4,148,5,949810582
4,890,5,949779091
4,839,5,949949486
4,183,5,949919938
4,1389,3,949810534
4,428,5,949949538
4,1377,5,949949638
4,1884,4,949982238
4,1928,5,949949444
4,299,5,949779022
4,115,5,949919189
4,909,4,949919306
4,634,5,949919247
4,1929,5,949949396
4,167,4,949919454
4,615,4,949919322
4,1222,5,949949638
4,282,5,949949638
4,679,5,949896377
4,14,5,949896377
4,1808,5,949949538
4,533,5,949949638
4,1552,5,949896244
4,1879,5,949919372
4,1425,5,949811523
4,139,5,949895732
4,1654,5,949778771
4,1525,5,949919399
4,1797,5,949896275
4,612,5,949919372
4,1784,5,949919419
4,1249,5,949779173
4,920,5,949811490
4,946,5,949779173
4,1562,5,949896244
4,1863,5,949896159
4,1040,5,949779173
4,1273,5,949778714
4,433,5,949895708
4,77,5,949810261
4,1457,5,949779173
4,121,5,949811523
4,1681,5,949918693
4,1107,5,949779173
4,1173,5,949919372
4,1830,5,949896244
4,1768,5,949919519
4,351,5,949811602
4,1611,5,949918743
4,1448,4,949811559
4,1211,5,949919591
4,537,5,949811523
4,382,5,949919372
4,824,5,949949396
4,738,4,949811559
4,1871,5,949811490
4,1225,5,949918743
4,894,4,949918927
4,1001,4,949811602
4,1149,4,949896275
4,724,5,949982274
4,1143,5,949919247
4,627,4,949810582
4,982,4,949810302
4,1503,3,949920004
4,655,4,949918787
4,663,3,949918904
4,990,3,949810688
4,1167,5,949896377
4,1600,5,949810261
4,869,4,949810302
4,1163,5,949895772
4,1174,3,949811230
4,1749,5,949919978
4,1966,4,949811559
4,1079,5,949896244
4,948,1,949895864
4,834,5,949919738
4,1003,4,949810688
4,1890,2,949895956
4,1582,5,949810261
4,219,5,949810261
4,1287,5,949918743
4,877,3,949949538
4,1771,5,949811559
4,423,5,949896309
4,3,5,949811602
4,1312,3,949895907
4,1299,2,949918970
4,329,5,949896070
4,673,4,949919454
4,703,5,949778771
4,1177,4,949811738
4,1673,4,949896114
4,564,4,949982239
4,1645,4,949896183
4,1955,5,949810618
4,1504,3,949896114
4,1700,5,949918648
4,1102,5,949949444
4,472,5,949919306
4,1154,4,949982239
4,1276,5,949949444
4,1200,5,949896114
4,420,5,949949638
4,1991,5,949896183
4,1392,4,949920028
4,1297,5,949949538
4,32,5,949896114
4,256,5,949949396
4,226,4,949896114
4,972,5,949919399
4,862,3,949896309
